S,I,R
9.9971e+05,120.58,172.81
9.997e+05,121.28,173.82
9.997e+05,121.98,174.83
9.997e+05,122.68,175.85
9.997e+05,123.39,176.87
9.997e+05,124.1,177.91
9.997e+05,124.82,178.94
9.9969e+05,125.54,179.99
9.9969e+05,126.27,181.04
9.9969e+05,127,182.09
9.9969e+05,127.73,183.15
9.9969e+05,128.47,184.22
9.9969e+05,129.22,185.29
9.9968e+05,129.96,186.37
9.9968e+05,130.71,187.46
9.9968e+05,131.47,188.55
9.9968e+05,132.23,189.65
9.9968e+05,132.99,190.76
9.9967e+05,133.76,191.87
9.9967e+05,134.54,192.99
9.9967e+05,135.32,194.11
9.9967e+05,136.1,195.24
9.9967e+05,136.88,196.38
9.9966e+05,137.68,197.52
9.9966e+05,138.47,198.67
9.9966e+05,139.27,199.83
9.9966e+05,140.08,200.99
9.9966e+05,140.89,202.16
9.9965e+05,141.7,203.34
9.9965e+05,142.52,204.53
9.9965e+05,143.35,205.72
9.9965e+05,144.17,206.92
9.9965e+05,145.01,208.12
9.9964e+05,145.85,209.33
